date,milk_tnuva_3,milk_tnuva_3_chains,cottage_5,cottage_5_chains,gevina_levana_5,gevina_levana_5_chains,emek_28,emek_28_chains,butter,butter_chains,sweet_cream,sweet_cream_chains,sour_cream,sour_cream_chains,eggs_12,eggs_12_chains,yogurt,yogurt_chains,bread,bread_chains,rice,rice_chains,spaghetti,spaghetti_chains,couscous,couscous_chains,tomato,tomato_chains,cucumber,cucumber_chains,onion,onion_chains,potato,potato_chains,carrot,carrot_chains,apple,apple_chains,frozen_peas,frozen_peas_chains,chicken_breast,chicken_breast_chains,schnitzel,schnitzel_chains,hot_dogs,hot_dogs_chains,sugar,sugar_chains,salt,salt_chains,tahini,tahini_chains,hummus,hummus_chains,chocolate_spread,chocolate_spread_chains,coca_cola,coca_cola_chains,water,water_chains,coffee_tasters,coffee_tasters_chains,coffee_turkish,coffee_turkish_chains,tea,tea_chains,bamba,bamba_chains,bisli,bisli_chains,para_chocolate,para_chocolate_chains,cookies,cookies_chains
2025-12-15,7.0,5,6.02,6,5.78,4,19.21,3,10.05,4,8.58,7,3.07,7,15.46,5,4.21,7,8.38,2,12.31,7,6.42,5,7.01,5,6.9,2,8.07,3,15.96,4,6.99,5,5.38,2,10.12,4,18.67,6,42.39,6,33.35,5,18.47,2,4.75,2,1.97,7,13.79,5,10.19,3,27.94,6,8.58,3,16.12,6,35.9,7,19.65,6,7.35,5,4.69,7,5.16,5,9.4,7,8.54,6
2025-12-16,7.0,5,6.02,6,5.78,4,19.21,3,10.05,4,8.58,7,3.07,7,15.46,5,4.21,7,8.38,2,12.31,7,6.42,5,7.01,5,6.9,2,8.07,3,15.96,4,6.99,5,5.38,2,10.12,4,18.67,6,42.39,6,33.35,5,18.47,2,4.75,2,1.97,7,13.79,5,10.19,3,27.94,6,8.58,3,16.12,6,35.9,7,19.65,6,7.35,5,4.69,7,5.16,5,9.4,7,8.54,6
2025-12-17,7.0,5,6.02,6,5.78,4,19.21,3,10.05,4,8.58,7,3.07,7,15.46,5,4.21,7,8.38,2,12.31,7,6.42,5,7.01,5,6.9,2,8.07,3,15.96,4,6.99,5,5.38,2,10.12,4,18.67,6,42.39,6,33.35,5,18.47,2,4.75,2,1.97,7,13.79,5,10.19,3,27.94,6,8.58,3,16.12,6,35.9,7,19.65,6,7.35,5,4.69,7,5.16,5,9.4,7,8.54,6
2025-12-18,7.0,5,6.02,6,5.78,4,19.21,3,10.05,4,8.58,7,3.07,7,15.46,5,4.21,7,8.38,2,12.31,7,6.42,5,7.01,5,6.9,2,8.07,3,15.96,4,6.99,5,4.75,2,10.12,4,18.67,6,42.39,6,33.35,5,18.47,2,4.75,2,1.97,7,13.79,5,10.19,3,27.94,6,8.58,3,16.12,6,35.9,7,19.65,6,7.35,5,4.69,7,5.16,5,9.4,7,8.54,6
2025-12-19,7.0,5,6.02,6,5.78,4,19.21,3,10.05,4,8.58,7,3.07,7,15.46,5,4.21,7,8.38,2,12.31,7,6.42,5,7.01,5,6.9,2,8.07,3,15.96,4,6.99,5,4.82,2,10.12,4,18.67,6,42.39,6,33.35,5,18.47,2,4.75,2,1.97,7,13.79,5,10.19,3,27.94,6,8.58,3,16.12,6,35.9,7,19.65,6,7.35,5,4.69,7,5.16,5,9.4,7,8.54,6
2025-12-20,7.0,5,6.02,6,5.78,4,19.21,3,10.05,4,8.58,7,3.07,7,15.46,5,4.21,7,8.38,2,12.31,7,6.42,5,7.01,5,6.9,2,8.07,3,15.96,4,6.99,5,4.82,2,10.12,4,18.67,6,42.39,6,33.35,5,18.47,2,4.75,2,1.97,7,13.79,5,10.19,3,27.94,6,8.58,3,16.12,6,35.9,7,19.65,6,7.35,5,4.69,7,5.16,5,9.4,7,8.54,6
2025-12-21,7.0,5,6.02,6,5.78,4,19.21,3,10.05,4,8.58,7,3.07,7,15.46,5,4.21,7,8.38,2,12.31,7,6.42,5,7.01,5,6.9,2,8.07,3,15.96,4,6.99,5,4.86,2,10.12,4,18.67,6,42.39,6,33.35,5,18.47,2,4.75,2,1.97,7,13.79,5,10.19,3,27.94,6,8.58,3,16.12,6,35.9,7,19.65,6,7.35,5,4.69,7,5.16,5,9.4,7,8.54,6
2025-12-22,7.0,5,6.02,6,5.78,4,19.21,3,10.05,4,8.58,7,3.07,7,15.46,5,4.3,7,8.38,2,12.51,7,6.42,5,7.01,5,6.9,2,8.07,3,15.96,4,6.36,5,4.77,2,10.12,4,18.67,6,42.39,6,32.79,5,18.47,2,4.75,2,1.97,7,13.79,5,10.19,3,27.94,6,8.58,3,16.12,6,35.9,7,19.65,6,7.35,5,4.69,7,5.16,5,9.4,7,8.54,6
2025-12-23,7.0,5,6.02,6,5.78,4,19.21,3,10.05,4,8.58,7,3.07,7,15.44,5,4.3,7,8.38,2,12.37,7,6.42,5,7.01,5,6.9,2,8.07,3,15.96,4,6.36,5,4.73,2,10.12,4,18.67,6,42.39,6,32.79,5,18.47,2,4.75,2,1.97,7,13.79,5,10.19,3,27.94,6,8.58,3,16.12,6,35.37,7,19.39,6,7.35,5,4.69,7,5.16,5,9.4,7,8.54,6
2025-12-24,7.0,5,6.02,6,5.78,4,19.21,3,10.05,4,8.58,7,3.07,7,15.44,5,4.3,7,8.38,2,12.37,7,6.42,5,7.01,5,6.9,2,8.07,3,15.96,4,6.36,5,4.9,2,10.12,4,18.67,6,42.39,6,32.79,5,18.47,2,4.75,2,1.97,7,13.79,5,10.19,3,27.94,6,8.58,3,16.12,6,35.37,7,19.39,6,7.35,5,4.69,7,5.16,5,9.4,7,8.54,6
